epsilon,obj_bound - obj_nobound,relative cache size for best sol,relative #nodes explored for best sol
0.7,0,1.0,1.0
0.8,0,0.9999445202617301,0.9996907038284695
0.9,0,0.9803613035439219,0.9094084090353063
0.95,0,0.9912855647409423,0.9695657008347792
0.975,0,0.9866739794649518,0.9532349480174798
0.98,0,0.9872584509661961,0.9568396463946574
0.985,0,0.9876944871057051,0.9574674437306938
0.99,0,0.9862971487379137,0.9522055078162805
0.995,0,0.9817129542687748,0.9412698517562583
0.999,0,0.982454737502165,0.9319754649159727
